Date,FFB_Yield
01.01.2008,1.62
01.02.2008,1.45
01.03.2008,1.56
01.04.2008,1.39
01.05.2008,1.44
01.06.2008,1.48
01.07.2008,1.66
01.08.2008,1.71
01.09.2008,1.62
01.10.2008,1.86
01.11.2008,1.89
01.12.2008,1.67
01.01.2009,1.49
01.02.2009,1.3
01.03.2009,1.38
01.04.2009,1.35
01.05.2009,1.48
01.06.2009,1.61
01.07.2009,1.78
01.08.2009,1.58
01.09.2009,1.61
01.10.2009,2.07
01.11.2009,1.68
01.12.2009,1.55
01.01.2010,1.3
01.02.2010,1.16
01.03.2010,1.44
01.04.2010,1.37
01.05.2010,1.51
01.06.2010,1.65
01.07.2010,1.74
01.08.2010,1.72
01.09.2010,1.61
01.10.2010,1.73
01.11.2010,1.54
01.12.2010,1.23
01.01.2011,1.08
01.02.2011,1.13
01.03.2011,1.51
01.04.2011,1.59
01.05.2011,1.81
01.06.2011,1.82
01.07.2011,1.77
01.08.2011,1.74
01.09.2011,2.08
01.10.2011,2.04
01.11.2011,1.68
01.12.2011,1.5
01.01.2012,1.26
01.02.2012,1.09
01.03.2012,1.12
01.04.2012,1.21
01.05.2012,1.34
01.06.2012,1.52
01.07.2012,1.78
01.08.2012,1.74
01.09.2012,2.08
01.10.2012,2.04
01.11.2012,1.98
01.12.2012,1.86
01.01.2013,1.55
01.02.2013,1.21
01.03.2013,1.22
01.04.2013,1.33
01.05.2013,1.39
01.06.2013,1.54
01.07.2013,1.78
01.08.2013,1.79
01.09.2013,2.04
01.10.2013,2.04
01.11.2013,1.89
01.12.2013,1.71
01.01.2014,1.51
01.02.2014,1.2
01.03.2014,1.4
01.04.2014,1.44
01.05.2014,1.49
01.06.2014,1.52
01.07.2014,1.72
01.08.2014,2.14
01.09.2014,1.92
01.10.2014,1.91
01.11.2014,1.81
01.12.2014,1.44
01.01.2015,1.17
01.02.2015,1.24
01.03.2015,1.52
01.04.2015,1.78
01.05.2015,1.81
01.06.2015,1.77
01.07.2015,1.87
01.08.2015,1.97
01.09.2015,1.93
01.10.2015,1.9
01.11.2015,1.66
01.12.2015,1.38
01.01.2016,1.1
01.02.2016,1.11
01.03.2016,1.18
01.04.2016,1.25
01.05.2016,1.33
01.06.2016,1.47
01.07.2016,1.54
01.08.2016,1.69
01.09.2016,1.81
01.10.2016,1.8
01.11.2016,1.84
01.12.2016,1.69
01.01.2017,1.41
01.02.2017,1.32
01.03.2017,1.32
01.04.2017,1.33
01.05.2017,1.39
01.06.2017,1.34
01.07.2017,1.82
01.08.2017,1.97
01.09.2017,2.07
01.10.2017,2.26
01.11.2017,2.27
01.12.2017,2.19
01.01.2018,1.77
01.02.2018,1.39
01.03.2018,1.53
01.04.2018,1.45
01.05.2018,1.39
01.06.2018,1.29
01.07.2018,1.42
01.08.2018,1.61
01.09.2018,1.91
01.10.2018,2.04
